Name,Slug,Category,Definition,Formula,Primary Source,Refresh Cadence,Owner,Target,Warning Threshold,Critical Threshold,Higher Is Better,Format,Tolerance Category,Tolerance Rule
Revenue MTD,revenue_mtd,revenue,"Total recognized revenue from all invoices in the current month to date.","SUM(Invoice Amount) for current month where Status = Paid or Open",Billing/ERP,Every 4 hours,Finance - Controller,,,TRUE,currency,revenue,0.1% (1 basis point)
Pipeline 30/60/90,pipeline_30_60_90,sales,"Total opportunity value segmented by expected close date: 0-30 days, 31-60 days, 61-90 days.","SUM(Opportunity Amount x Stage Probability) grouped by close date buckets",CRM (Salesforce),Every 2 hours,Sales Ops - Director,,,TRUE,currency,revenue,0.1% (1 basis point)
Win Rate,win_rate,sales,"Percentage of opportunities that closed as won out of all opportunities that closed (won + lost) in the period.","COUNT(Closed Won) / COUNT(Closed Won + Closed Lost) x 100",CRM (Salesforce),Daily,Sales Ops - Director,0.35,0.28,0.20,TRUE,percent,rate,0.5%
Avg Sales Cycle (Days),avg_cycle_time_days,sales,"Average number of days from opportunity creation to close for won opportunities.","AVG(Close Date - Created Date) for Closed Won opportunities",CRM (Salesforce),Daily,Sales Ops - Director,45,60,90,FALSE,days,count,0 (exact)
Forecast Revenue (8 Weeks),forecast_revenue_8w,revenue,"Projected revenue for the next 8 weeks based on weighted pipeline, historical conversion rates, and seasonality adjustments.","SUM(Pipeline x Historical Conversion Rate) + Recurring Revenue Base + Seasonality Factor",CRM (Salesforce),Weekly (Monday 6am),Finance - FP&A,,,TRUE,currency,forecast,5%
Variance to Target MTD,variance_to_target_mtd,revenue,"Difference between actual revenue MTD and the prorated monthly target.","(Revenue MTD - Prorated Target) / Prorated Target x 100",Billing/ERP,Every 4 hours,Finance - Controller,0,-0.05,-0.10,TRUE,percent,revenue,0.1% (1 basis point)
Service Risk Index,service_risk_index,operations,"Composite score (0-100) measuring service delivery risk based on callbacks, missed services, complaints, and response time.","100 - (Callback Rate x 25 + Missed Rate x 30 + Complaint Rate x 25 + Response Penalty x 20)",PestPac/Field Service,Every 2 hours,Operations - VP,85,75,65,TRUE,index,index,1.0 point
Callback Rate,callback_rate,operations,"Percentage of completed service visits that required a callback within 14 days.","COUNT(Callbacks within 14 days) / COUNT(Completed Services) x 100",PestPac/Field Service,Daily,Operations - Director,0.05,0.08,0.12,FALSE,percent,rate,0.5%
Missed Service Rate,missed_service_rate,operations,"Percentage of scheduled services that were not completed as planned.","COUNT(Missed Services) / COUNT(Scheduled Services) x 100",PestPac/Field Service,Daily,Operations - Director,0.02,0.04,0.06,FALSE,percent,rate,0.5%
Avg Response Time (Hours),avg_response_time_hours,operations,"Average time from service request to service completion for on-demand requests.","AVG(Completed Timestamp - Request Timestamp) in hours",PestPac/Field Service,Daily,Operations - Director,24,36,48,FALSE,number,count,0 (exact)
AR Aging,ar_aging,finance,"Total accounts receivable balance segmented by aging buckets (0-30, 31-60, 61-90, 90+ days).","SUM(Open Invoice Balance) grouped by days past due",Billing/ERP,Daily (6am),Finance - AR Manager,,,FALSE,currency,revenue,0.1% (1 basis point)
Days Sales Outstanding,dso,finance,"Average number of days to collect payment after invoicing.","(Total AR Balance / Revenue Last 30 Days) x 30",Billing/ERP,Daily,Finance - AR Manager,35,45,55,FALSE,days,count,0 (exact)
Capacity Utilization,capacity_utilization,workforce,"Percentage of available technician hours that are scheduled/used.","SUM(Used Hours) / SUM(Available Hours) x 100",Workforce/HR,Every 4 hours,Operations - Director,0.85,0.70,0.60,TRUE,percent,rate,0.5%
Scheduling Pressure Index,scheduling_pressure_index,workforce,"Composite index measuring scheduling strain based on utilization, overtime, and unfilled slots.","(Over-Utilization Score x 40) + (Overtime Score x 30) + (Unfilled Slots Score x 30)",Workforce/HR,Daily,Operations - Director,30,50,70,FALSE,index,index,1.0 point
CRM Hygiene Score,crm_hygiene_score,quality,"Score (0-100) measuring data quality in CRM: complete fields, current activities, valid stages.","(Complete Fields % x 40) + (Recent Activity % x 30) + (Valid Stage % x 30)",CRM (Salesforce),Daily (5am),Sales Ops - Director,90,75,60,TRUE,index,index,1.0 point
Stalled Opportunities,stalled_opps,sales,"Count and value of opportunities with no stage movement or activity in 14+ days.","COUNT/SUM(Amount) where Days Since Stage Change > 14 OR Days Since Activity > 14",CRM (Salesforce),Daily,Sales Ops - Director,,,FALSE,currency,count,0 (exact)
Retention Risk,retention_risk,operations,"Count and contract value of accounts flagged as high retention risk.","SUM(Contract Value) where Risk Score > Threshold",PestPac/Field Service,Daily,Operations - VP,,,FALSE,currency,revenue,0.1% (1 basis point)
Complaint Rate,complaint_rate,quality,"Number of complaints per 1,000 service events.","(COUNT(Complaints) / COUNT(Service Events)) x 1000",CRM (Complaints),Daily,Customer Experience - Director,5,8,12,FALSE,number,rate,0.5%
Net Revenue Retention,nrr,revenue,"Revenue from existing customers this period vs same customers last period, including expansion and churn.","(Starting Revenue + Expansion - Contraction - Churn) / Starting Revenue",Billing/ERP,Monthly (1st of month),Finance - FP&A,1.05,0.98,0.95,TRUE,percent,rate,0.5%
Margin Proxy,margin_proxy,finance,"Estimated gross margin based on revenue minus estimated service cost (labor + materials).","(Revenue - (Labor Hours x Avg Hourly Cost + Material Cost)) / Revenue",Billing/ERP,Weekly,Finance - Controller,0.45,0.38,0.32,TRUE,percent,rate,0.5%
